#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AI812156	Pco083693	4577.GRMZM2G139973_P01	4577.GRMZM2G010649_P03	0	0	0	0	0.053	0.897	0.638	0.862	0.994
AI812156	IDP267	4577.GRMZM2G139973_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.223	0.966	0.429	0.990	0.999
AI812156	IDP1417	4577.GRMZM2G139973_P01	4577.GRMZM2G019200_P01	0	0	0	0	0.043	0.236	0	0.889	0.911
AI812156	GRMZM2G042371_P01	4577.GRMZM2G139973_P01	4577.GRMZM2G042371_P01	0	0	0	0	0.051	0.968	0.429	0.896	0.997
AI812156	GRMZM2G055172_P01	4577.GRMZM2G139973_P01	4577.GRMZM2G055172_P01	0	0	0	0	0.109	0	0	0.887	0.895
AI812156	GNAT16	4577.GRMZM2G139973_P01	4577.GRMZM2G100872_P01	0	0	0	0	0.063	0.940	0.373	0.867	0.994
AI812156	MOCS3-2	4577.GRMZM2G139973_P01	4577.GRMZM2G157836_P01	0	0	0	0	0	0.265	0	0.612	0.702
AI812156	GRMZM2G331015_P01	4577.GRMZM2G139973_P01	4577.GRMZM2G331015_P01	0	0	0	0	0	0	0	0.860	0.860
AI812156	URM1	4577.GRMZM2G139973_P01	4577.GRMZM2G179689_P01	0	0	0	0	0	0.503	0	0.787	0.889
AI812156	GRMZM2G359735_P01	4577.GRMZM2G139973_P01	4577.GRMZM2G359735_P01	0	0	0	0	0.063	0.940	0.373	0.867	0.994
GNAT16	cl27369_1	4577.GRMZM2G100872_P01	4577.AC217358.3_FGP003	0	0	0	0	0.812	0.124	0	0.545	0.918
GNAT16	Pco083693	4577.GRMZM2G100872_P01	4577.GRMZM2G010649_P03	0	0	0	0	0.053	0.045	0.373	0.756	0.843
GNAT16	IDP267	4577.GRMZM2G100872_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.121	0.943	0.633	0.870	0.997
GNAT16	IDP1417	4577.GRMZM2G100872_P01	4577.GRMZM2G019200_P01	0	0	0	0	0.049	0.874	0	0.838	0.978
GNAT16	GRMZM2G042371_P01	4577.GRMZM2G100872_P01	4577.GRMZM2G042371_P01	0	0	0	0	0.839	0.943	0.633	0.857	0.999
GNAT16	GRMZM2G044848_P01	4577.GRMZM2G100872_P01	4577.GRMZM2G044848_P01	0	0	0	0	0.542	0	0	0	0.542
GNAT16	pco061701	4577.GRMZM2G100872_P01	4577.GRMZM2G052178_P02	0	0	0	0	0.519	0	0	0	0.519
GNAT16	GRMZM2G055172_P01	4577.GRMZM2G100872_P01	4577.GRMZM2G055172_P01	0	0	0	0	0	0	0	0.727	0.727
