#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRMZM2G019863_P01	MADS5	4577.GRMZM2G019863_P01	4577.GRMZM2G003514_P01	0	0	0	0	0	0.054	0	0.534	0.540
GRMZM2G019863_P01	GRMZM2G148693_P02	4577.GRMZM2G019863_P01	4577.GRMZM2G148693_P02	0	0	0	0	0	0.054	0	0.487	0.494
GRMZM2G019863_P01	bde1	4577.GRMZM2G019863_P01	4577.GRMZM2G160565_P01	0	0	0	0	0	0.054	0	0.531	0.537
GRMZM2G019863_P01	m26	4577.GRMZM2G019863_P01	4577.GRMZM2G046885_P01	0	0	0	0	0	0.054	0	0.557	0.563
GRMZM2G019863_P01	tu1	4577.GRMZM2G019863_P01	4577.GRMZM2G370777_P02	0	0	0	0	0	0.054	0	0.557	0.563
GRMZM2G019863_P01	MADS68	4577.GRMZM2G019863_P01	4577.GRMZM2G059102_P03	0	0	0	0	0	0.054	0	0.557	0.563
GRMZM2G019863_P01	mads74	4577.GRMZM2G019863_P01	4577.GRMZM5G814279_P01	0	0	0	0	0	0.054	0	0.557	0.563
GRMZM2G019863_P01	mads76	4577.GRMZM2G019863_P01	4577.GRMZM2G070034_P01	0	0	0	0	0	0.054	0	0.592	0.597
GRMZM2G019863_P01	GRMZM2G026223_P04	4577.GRMZM2G019863_P01	4577.GRMZM2G026223_P04	0	0	0	0	0	0.054	0	0.592	0.597
GRMZM2G019863_P01	m4	4577.GRMZM2G019863_P01	4577.GRMZM2G032339_P02	0	0	0	0	0	0.054	0	0.686	0.690
GRMZM2G019863_P01	m15	4577.GRMZM2G019863_P01	4577.GRMZM2G553379_P07	0	0	0	0	0	0.054	0	0.692	0.696
GRMZM2G019863_P01	mads1	4577.GRMZM2G019863_P01	4577.GRMZM2G171365_P01	0	0	0	0	0	0.054	0	0.905	0.906
GRMZM2G026223_P04	MADS5	4577.GRMZM2G026223_P04	4577.GRMZM2G003514_P01	0	0	0	0.871	0	0.486	0	0.592	0.524
GRMZM2G026223_P04	mads76	4577.GRMZM2G026223_P04	4577.GRMZM2G070034_P01	0	0	0	0.965	0	0.515	0	0.565	0.524
GRMZM2G026223_P04	bde1	4577.GRMZM2G026223_P04	4577.GRMZM2G160565_P01	0	0	0	0.875	0	0.486	0	0.836	0.539
GRMZM2G026223_P04	MADS8	4577.GRMZM2G026223_P04	4577.GRMZM2G102161_P01	0	0	0	0.862	0	0.774	0	0.512	0.789
GRMZM2G026223_P04	GRMZM2G099522_P02	4577.GRMZM2G026223_P04	4577.GRMZM2G099522_P02	0	0	0	0.852	0	0.774	0	0.512	0.790
GRMZM2G026223_P04	GRMZM2G072582_P02	4577.GRMZM2G026223_P04	4577.GRMZM2G072582_P02	0	0	0	0.846	0.043	0.774	0	0.516	0.791
GRMZM2G026223_P04	zmm6	4577.GRMZM2G026223_P04	4577.GRMZM2G159397_P01	0	0	0	0.836	0	0.774	0	0.512	0.792
GRMZM2G026223_P04	zmm27	4577.GRMZM2G026223_P04	4577.GRMZM2G129034_P01	0	0	0	0.836	0	0.774	0	0.512	0.792
GRMZM2G026223_P04	GRMZM2G148693_P02	4577.GRMZM2G026223_P04	4577.GRMZM2G148693_P02	0	0	0	0.823	0.043	0.774	0	0.516	0.794
GRMZM2G026223_P04	m15	4577.GRMZM2G026223_P04	4577.GRMZM2G553379_P07	0	0	0	0.832	0.043	0.774	0	0.731	0.801
GRMZM2G026223_P04	m4	4577.GRMZM2G026223_P04	4577.GRMZM2G032339_P02	0	0	0	0.838	0.043	0.774	0	0.768	0.802
GRMZM2G026223_P04	pco115876	4577.GRMZM2G026223_P04	4577.GRMZM2G147716_P01	0	0	0	0.838	0.043	0.774	0	0.772	0.802
GRMZM2G026223_P04	MADS4	4577.GRMZM2G026223_P04	4577.GRMZM2G097059_P01	0	0	0	0.834	0	0.774	0	0.771	0.802
GRMZM2G026223_P04	GRMZM2G032070_P01	4577.GRMZM2G026223_P04	4577.GRMZM2G032070_P01	0	0	0	0	0	0.774	0	0.512	0.884
GRMZM2G032070_P01	MADS5	4577.GRMZM2G032070_P01	4577.GRMZM2G003514_P01	0	0	0	0.768	0	0.810	0	0.647	0.837
GRMZM2G032070_P01	MADS68	4577.GRMZM2G032070_P01	4577.GRMZM2G059102_P03	0	0	0	0	0	0.269	0	0.506	0.623
GRMZM2G032070_P01	m26	4577.GRMZM2G032070_P01	4577.GRMZM2G046885_P01	0	0	0	0	0	0.269	0	0.506	0.623
GRMZM2G032070_P01	tu1	4577.GRMZM2G032070_P01	4577.GRMZM2G370777_P02	0	0	0	0	0	0.269	0	0.506	0.623
GRMZM2G032070_P01	mads74	4577.GRMZM2G032070_P01	4577.GRMZM5G814279_P01	0	0	0	0	0	0.269	0	0.566	0.669
GRMZM2G032070_P01	pco115876	4577.GRMZM2G032070_P01	4577.GRMZM2G147716_P01	0	0	0	0.740	0	0.669	0	0	0.669
GRMZM2G032070_P01	bde1	4577.GRMZM2G032070_P01	4577.GRMZM2G160565_P01	0	0	0	0.766	0	0.810	0	0.647	0.838
GRMZM2G032070_P01	GRMZM2G148693_P02	4577.GRMZM2G032070_P01	4577.GRMZM2G148693_P02	0	0	0	0.749	0	0.827	0	0.681	0.855
GRMZM2G032070_P01	m15	4577.GRMZM2G032070_P01	4577.GRMZM2G553379_P07	0	0	0	0.738	0	0.856	0	0.647	0.879
GRMZM2G032070_P01	mads76	4577.GRMZM2G032070_P01	4577.GRMZM2G070034_P01	0	0	0	0	0	0.774	0	0.512	0.884
GRMZM2G032070_P01	mads1	4577.GRMZM2G032070_P01	4577.GRMZM2G171365_P01	0	0	0	0	0	0.774	0	0.512	0.884
GRMZM2G032070_P01	GRMZM2G072582_P02	4577.GRMZM2G032070_P01	4577.GRMZM2G072582_P02	0	0	0	0	0	0.827	0	0.681	0.942
GRMZM2G032070_P01	m4	4577.GRMZM2G032070_P01	4577.GRMZM2G032339_P02	0	0	0	0	0	0.856	0	0.647	0.946
GRMZM2G072582_P02	MADS5	4577.GRMZM2G072582_P02	4577.GRMZM2G003514_P01	0	0	0	0.890	0	0.832	0	0.857	0.847
GRMZM2G072582_P02	m26	4577.GRMZM2G072582_P02	4577.GRMZM2G046885_P01	0	0	0	0.820	0	0.812	0	0.506	0.828
GRMZM2G072582_P02	MADS68	4577.GRMZM2G072582_P02	4577.GRMZM2G059102_P03	0	0	0	0.799	0	0.812	0	0.506	0.830
GRMZM2G072582_P02	mads76	4577.GRMZM2G072582_P02	4577.GRMZM2G070034_P01	0	0	0	0.865	0.043	0.774	0	0.516	0.789
GRMZM2G072582_P02	zmm6	4577.GRMZM2G072582_P02	4577.GRMZM2G159397_P01	0	0	0	0.915	0	0.669	0	0.653	0.686
GRMZM2G072582_P02	zmm27	4577.GRMZM2G072582_P02	4577.GRMZM2G129034_P01	0	0	0	0.889	0.116	0.669	0	0	0.694
GRMZM2G072582_P02	MADS4	4577.GRMZM2G072582_P02	4577.GRMZM2G097059_P01	0	0	0	0.904	0.116	0.669	0	0.678	0.714
GRMZM2G072582_P02	mads1	4577.GRMZM2G072582_P02	4577.GRMZM2G171365_P01	0	0	0	0.854	0.043	0.774	0	0.516	0.790
GRMZM2G072582_P02	mads74	4577.GRMZM2G072582_P02	4577.GRMZM5G814279_P01	0	0	0	0.842	0	0.812	0	0.506	0.826
GRMZM2G072582_P02	tu1	4577.GRMZM2G072582_P02	4577.GRMZM2G370777_P02	0	0	0	0.775	0	0.812	0	0.506	0.832
GRMZM2G072582_P02	MADS8	4577.GRMZM2G072582_P02	4577.GRMZM2G102161_P01	0	0	0	0.897	0	0.827	0	0.681	0.838
GRMZM2G072582_P02	GRMZM2G099522_P02	4577.GRMZM2G072582_P02	4577.GRMZM2G099522_P02	0	0	0	0.881	0	0.827	0	0.681	0.840
GRMZM2G072582_P02	bde1	4577.GRMZM2G072582_P02	4577.GRMZM2G160565_P01	0	0	0	0.887	0.116	0.832	0	0.646	0.856
GRMZM2G099522_P02	MADS5	4577.GRMZM2G099522_P02	4577.GRMZM2G003514_P01	0	0	0	0.910	0.133	0.810	0	0.647	0.837
GRMZM2G099522_P02	m4	4577.GRMZM2G099522_P02	4577.GRMZM2G032339_P02	0	0	0	0.884	0	0.856	0	0.794	0.869
GRMZM2G099522_P02	mads76	4577.GRMZM2G099522_P02	4577.GRMZM2G070034_P01	0	0	0	0.864	0	0.774	0	0.512	0.789
GRMZM2G099522_P02	zmm27	4577.GRMZM2G099522_P02	4577.GRMZM2G129034_P01	0	0	0	0.910	0.432	0	0	0	0.432
GRMZM2G099522_P02	zmm6	4577.GRMZM2G099522_P02	4577.GRMZM2G159397_P01	0	0	0	0.910	0.197	0.295	0	0.802	0.451
GRMZM2G099522_P02	pco115876	4577.GRMZM2G099522_P02	4577.GRMZM2G147716_P01	0	0	0	0.881	0	0.669	0	0.548	0.689
GRMZM2G099522_P02	mads1	4577.GRMZM2G099522_P02	4577.GRMZM2G171365_P01	0	0	0	0.859	0	0.774	0	0.512	0.789
GRMZM2G099522_P02	GRMZM2G148693_P02	4577.GRMZM2G099522_P02	4577.GRMZM2G148693_P02	0	0	0	0.869	0	0.827	0	0.681	0.842
GRMZM2G099522_P02	bde1	4577.GRMZM2G099522_P02	4577.GRMZM2G160565_P01	0	0	0	0.909	0.241	0.810	0	0.647	0.858
GRMZM2G099522_P02	m15	4577.GRMZM2G099522_P02	4577.GRMZM2G553379_P07	0	0	0	0.886	0	0.856	0	0.647	0.866
GRMZM2G148693_P02	MADS5	4577.GRMZM2G148693_P02	4577.GRMZM2G003514_P01	0	0	0	0.870	0	0.832	0	0.751	0.848
GRMZM2G148693_P02	m26	4577.GRMZM2G148693_P02	4577.GRMZM2G046885_P01	0	0	0	0.789	0	0.812	0	0.506	0.831
GRMZM2G148693_P02	MADS68	4577.GRMZM2G148693_P02	4577.GRMZM2G059102_P03	0	0	0	0.774	0	0.812	0	0.506	0.832
GRMZM2G148693_P02	mads76	4577.GRMZM2G148693_P02	4577.GRMZM2G070034_P01	0	0	0	0.848	0.043	0.774	0	0.516	0.791
GRMZM2G148693_P02	MADS4	4577.GRMZM2G148693_P02	4577.GRMZM2G097059_P01	0	0	0	0.885	0	0.669	0	0	0.669
GRMZM2G148693_P02	MADS8	4577.GRMZM2G148693_P02	4577.GRMZM2G102161_P01	0	0	0	0.877	0	0.827	0	0.681	0.841
GRMZM2G148693_P02	zmm27	4577.GRMZM2G148693_P02	4577.GRMZM2G129034_P01	0	0	0	0.845	0	0.669	0	0	0.669
